symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,side,closed_at_end
GRAVITA,2021-11-01,2021-11-08,213.85867309570312,214.39639282226562,0.0025143695075759975,7,Metals,LONG,
ADANIENT,2021-02-08,2021-11-08,593.9073486328125,1486.796875,1.5034155216678804,273,Industrials,LONG,
TORNTPOWER,2021-07-05,2021-11-15,418.51727294921875,485.75567626953125,0.16065860996965586,133,Utilities,LONG,
LIQUIDBEES,2021-07-05,2021-11-15,836.8571166992188,843.0184326171875,0.007362446700902359,133,Other,LONG,
ADANIPORTS,2021-07-05,2021-11-15,694.4287719726562,733.4317016601562,0.05616548631287954,133,Industrials,LONG,
GOLDBEES,2021-07-05,2021-11-15,41.150001525878906,42.45000076293945,0.03159171783366732,133,Other,LONG,
VBL,2021-11-15,2021-11-22,128.3934326171875,125.46052551269531,-0.02284312401894273,7,FMCG,LONG,
IOC,2021-11-15,2021-11-22,69.69284057617188,67.80570983886719,-0.027077827818513422,7,Energy,LONG,
INDIGO,2021-11-15,2021-11-22,2302.359130859375,2247.35205078125,-0.02389161592596245,7,Aviation,LONG,
TATASTEEL,2021-11-15,2021-11-22,113.29634857177734,104.43771362304688,-0.07818994222146713,7,Metals,LONG,
MID150BEES,2021-11-15,2021-11-22,121.12999725341797,119.0,-0.017584391164161994,7,Other,LONG,
LT,2021-07-05,2021-11-29,1409.79638671875,1706.4613037109375,0.21043103797610407,147,Industrials,LONG,
LODHA,2021-11-22,2021-11-29,683.9396362304688,675.3944702148438,-0.012494035384060576,7,Real Estate,LONG,
SBIN,2021-11-08,2021-11-29,493.9739074707031,438.1463623046875,-0.11301719447464276,21,Financials,LONG,
ADANIGREEN,2021-11-15,2021-12-06,1292.300048828125,1389.6500244140625,0.07533078380227232,21,Renewables,LONG,
GODREJPROP,2021-11-08,2021-12-13,2429.89990234375,2099.199951171875,-0.13609612101835955,35,Real Estate,LONG,
BHARTIARTL,2021-11-22,2021-12-13,698.1769409179688,694.609619140625,-0.005109480947126932,21,Telecom,LONG,
COFORGE,2021-11-22,2021-12-13,1055.8272705078125,1007.1771240234375,-0.04607775139296799,21,IT,LONG,
POLYCAB,2021-11-29,2021-12-20,2204.390380859375,2273.902587890625,0.0315335285595606,21,Capital Goods,LONG,
SOLARINDS,2021-11-15,2021-12-27,2559.693603515625,2348.98193359375,-0.08231909851728814,42,Defence,LONG,
LT,2021-12-13,2021-12-27,1797.87109375,1784.4354248046875,-0.00747309915155725,14,Industrials,LONG,
GRASIM,2021-12-13,2021-12-27,1709.1871337890625,1574.05078125,-0.07906469096773594,14,Cement,LONG,
TITAN,2021-11-15,2021-12-27,2506.605224609375,2289.40576171875,-0.08665084583651306,42,Consumer Disc.,LONG,
TATAPOWER,2021-10-25,2021-12-27,215.92837524414062,210.87060546875,-0.02342336790925248,63,Utilities,LONG,
DEEPAKNTR,2021-12-13,2021-12-27,2319.469482421875,2277.52392578125,-0.018084116630337155,14,Chemicals,LONG,
ONGC,2021-11-29,2021-12-27,113.39329528808594,106.76390075683594,-0.058463725870276706,28,Energy,LONG,
APOLLOHOSP,2021-11-22,2021-12-27,5519.8369140625,4782.91796875,-0.13350375324225672,35,Healthcare,LONG,
